customer_id,recency_days,frequency,monetary,total_freight,state,city,avg_order_value,lifetime_days,is_repeat,avg_days_between,unique_products,r_quartile,r_score,f_score,m_score,rfm_total,segment
0ee57f62666561b72f2ceacad0230cbf,70,2,330.6,55.81,SP,sao caetano do sul,165.3,114,1,38.0,2,0,5,5,5,15,Champions
0ef7b906320b21fe4d39f99496aaa2d8,25,2,169.98,40.24,RJ,sao joao de meriti,84.99,444,1,444.0,2,0,5,5,4,14,Champions
0f64cafdb3e1e4806c99ff165305e27f,148,2,173.89,21.27,SP,braganca paulista,86.94500000000001,53,1,53.0,2,1,4,5,4,13,Champions
0fd39b61ec94864f92e18e5d7144bc6c,156,2,274.0,68.1,MG,barbacena,137.0,139,1,69.5,3,1,4,5,5,14,Champions
10351fa9e690ca750568e3c19978d69e,82,2,207.0,46.08,RJ,sao goncalo,103.5,19,1,9.5,2,0,5,5,5,15,Champions
10bf8afdd66da75c386fbacf04c85710,158,2,389.7000000000001,59.3,SP,guarulhos,194.85,52,1,26.0,1,1,4,5,5,14,Champions
115030e27b9970683ad81cb05679157c,98,2,154.48000000000002,18.61,SP,jundiai,77.24000000000001,41,1,41.0,2,1,4,5,4,13,Champions
11e95918d6816403858e8314a3503f4c,55,2,239.89,19.43,SP,sao paulo,119.945,168,1,168.0,2,0,5,5,5,15,Champions
1225c9614c5129a3085416d30d50e143,174,2,360.0,32.28,MG,nova lima,180.0,0,1,0.0,1,1,4,5,5,14,Champions
124bc956b56b1523d2a75b29a856085d,149,2,197.4,55.68,SP,sao joao da boa vista,98.7,76,1,25.33333333333333,1,1,4,5,5,14,Champions
124ef8d5acc80858c69d34e3e08b572d,40,2,395.9,36.84,RS,erval grande,197.95,328,1,328.0,2,0,5,5,5,15,Champions
12d8b5ed661190a3a08183644dfc504d,119,4,697.8399999999999,160.11,ES,montanha,174.45999999999998,401,1,80.2,6,1,4,5,5,14,Champions
130f4a32887cc549621b3c6cf36bf77e,11,2,189.8,37.23,SP,suzano,94.9,292,1,292.0,2,0,5,5,5,15,Champions
